product_id,product,market_price,rating,description
233,Banana Stem - Diced,40,,"We have reduced your time and effort with this pack of fresho diced banana stems which makes a quick and healthy meal, and are neatly cleaned and packed. Banana Stem is the fibrous stalk of the banana plant. It has high water content, fresh and crispy textured stalks with a mild taste. Fresho stem grade bananas are offered in a pristine condition and are tasty and nutritious."
279,"Pomegranate - Single Serve, Peeled",42.5,,"We've eliminated the messy step of removing the peel of pomegranate.
Savour the luscious seeds without any effort through Fresho's pomegranates.
With ruby color and an intense, floral, sweet-tart flavour, the pomegranate delivers both taste and beauty. 
Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/1229/pomegranate-cooler/"
334,Zucchini - Green,62.5,,"Zucchini is a long, slender, cucumber like green vegetable that is also called squash. The green variant has a firm flesh and a mild flavour. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1933/quinoa-with-vegetables/"
351,Blueberry,418.75,,"Plump, smooth-skinned and indigo coloured perfect little globes of juicy berries have mostly sweet and slightly tart flavour. We have imported this fine quality, delicious tasting variety of blueberries. Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/564/blueberry-mousse/"
418,Drumstick - Organically Grown,16.25,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
435,Ladies Finger,35,,"Ladies finger is a green vegetable with a tip at the end and a lighter green head, which is inedibe and to be thrown away.
It tastes mild and slightly grassy. 
Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/2136/cheesy-okra-bhindi-fritters/"
456,Tapioca,21.25,,Starchy and mild flavoured Tapiocas are edible roots with a grainy textured flesh.
513,Drumstick - Organically Grown,16.25,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
562,Aloe Vera - Organically grown,50,,"Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
696,Green Chilly - Chopped,22.5,,Fresho brings to you chopped Green chillis with a fresh flavour and sharp bite to bring a tang of spiciness to your food
768,Beetroot - Julienne,32.5,,These edible ruby red roots are smooth and bulbous. Beetroots have the highest sugar content than any other vegetable. We deliver them fresh and uniformly sliced into thin long strips called the Julienne cut. Enjoy an effortless cooking that is less messy and much quicker because we value your time!
838,Pumpkin - Organically Grown,35,,"It is organically grown and handpicked from farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
855,"Apple - Green, Premium",181.25,,"Green apples have a pleasing light-green coloured skin with a sweet and sour taste.
They contain more fiber, less carbohydrates and sugar than red apples.
Premium apples are handpicked by our experts to give you the best quality apples. 
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1865/apple-cobbler/"
943,Onion - Organically Grown,43.75,,"It is organically grown and handpicked from farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
970,Lemon Grass,12.5,,"Lemon Grass is a culinary herb that comes with an excellent aroma. It is also used as a medicinal herb in India. It has a subtle citrusy flavour and can be used fresh or even dried and powdered.
Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/2255/lemongrass-tea/"
1042,Broccoli,57.5,,"With a shape resembling that of a cauliflower, Brocollis have clusters of small, tight flower heads. These heads turn bright green on cooking and tastes slightly bitter.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1695/broccoli-masala/"
1164,Yellow Pumpkin - Avial Cut,31.25,,"Pumpkin is a gourd-like squash that belongs to the Cucurbita family. Pumpkins are so joyful looking with their intense colors. Its yellow-orangey skin and flesh is filled with the carotenoids. The shape varies from oblong to oblate and its skin is regularly thick in orange or yellowish color. The inside flesh differ from pale to dim green, ashen to gray and orange-yellow to red. At the central part of pumpkin, are the seeds which are edible.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
1188,Tamarind - Sweet,123.75,,"Sweet tamarind is bean shaped with brown to clay coloured skin. Flesh inside the pod is tender, succulent and sweet.Tamarinds include small amounts of a mixture of vitamins, including vitamins A, C, E and K. Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/642/dahi-vada/"
1220,Ginger - Organically Grown,7.5,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
1247,Kesar Mango,143.75,,"Gir Kesar, due to its cultivation in foothills of Girnar, is irresistibly sweet, juicy and delicious. Skin is yellow with a tinge of green on the outside.
The pulp is bright orange in colour. It is an early season variety. It is the queen of mangoes.

Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1176/mango-falooda/  Calcium Carbide is not used in the ripening process of the mangoes."
1272,Coccinia - Sliced,28.75,,"The flesh of Coccinia is crunchy with a mild bitter after taste. Mature ones taste even sweeter. The translucent white flesh with seeds embedded turns red on ripening. They are oval to elongated with thick and light green skin. We deliver them fresh and diced, making your preparations much easier and quicker because we value your time!"
1310,Jackfruit - Peeled,68.75,,"Fresho brings peeled jackfruit to your doorstep in hygienic packs to reduce your effort of cutting the spiny skinned fruit.
Jackfruits are large sized, bright green-spiny skinned fruit.
When cut open, there are numerous soft golden yellow bulbs of pulp, with a meaty texture and an extremely sweet flavour that is similar to a blend of tart banana and pineapple. 
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1102/upside-down-jackfruit-cake-with-atta/"
1345,Snake Gourd - Organically Grown,25,,"It Is Organically Grown And Handpicked From Farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
1363,Garlic - Organically Grown,70,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
1446,Coconut - Diced,48.75,,Our freshly diced coconut can be used directly in many ways without having to worry about the rough external shell and fibrous husk
1447,Organic Sprouts Moong Green,36.25,,"Bean sprouts are the young shoots of the mung bean with petite pale yellow to pale green leaves attached on a silvery bright white shoot. With a high water content, bean sprouts offer a crunch and subtle nutty flavour. We take a very good care while growing and preparing sprouts in order to prevent contamination. Moong bean sprouts are low in calories and rich in fiber and Vitamins B, C and K. They are also rich in iron and folate. Folate is recommended to pregnant women, to prevent birth imperfections in the fetus."
1478,Amaranthus - Red,25,,"A highly nutritious leafy vegetable, Red Amaranthus has bright red leaves and a flavor similar to a beat.
The Red variety produces feathery purple, magenta, or red flowers from the central stalk which is packed with edible seeds.
But once they mature and become bushy, they are not edible and should be avoided.
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1109/thotakura-vadiyalu-curry/"
1516,Banana - Karpooravalli,35,,"Golden yellow bananas that come with tinges of pale green, Karpooravalli bananas are considered the sweetest among all Indian varieties. They are cultivated in the states of Tamilnadu and Kerala.
Karpooravalli Bananas are procured directly from our farmers and are carefully delivered at your doorstep.Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2291/banana-paniyaram/"
1698,Kiwi - Sun Gold,298.75,,"With a smooth, hair-less golden brown coloured skin, sun gold kiwis taste like in between mango and strawberry with a soft and sweet yellow flesh. Full of vitality, this juicy, golden-fleshed new variety has a refreshing sweet taste with just a hint of sourness. An attractive, larger kiwi fruit with a delicate texture inside a smooth skin. Zespri Gold has a beautiful consistent shape and is delighting consumers all over the world. 
 Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/1010/lean-green-smoothie/"
1710,"Brinjal - Green, Round",27.5,,"A hybrid variety, Green round Brinjals are attractive glossy green coloured that are round to oval in shape. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/271/baingan-mussalam/"
1819,Beans - Haricot,50,,"Haricot beans are small, oval, plump and creamy-white with a mild flavour and a smooth, buttery texture."
1949,Coconut - Organically Grown,40,,"It is organically grown and handpicked from farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
1999,Pineapple - Organically Grown,47.5,,"With the shape of a pine cone, the fruit is loosely fibrous and juicy with white to yellowish flesh. The edible center part is firm, leathery and sweeter. We selectively pick organically grown pineapples from the best farms  Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/865/american-pineapple-upside-down-cake-egg-free/"
2027,"Pineapple - Chunks, Single Serve",23.75,,"Our uniformly and perfectly cut pineapple chunks are enriching sight to behold.
We have reduced a large effort for you by removing the pineapple's prickly exterior and cubed its sweet, juicy flesh into bite-sized chunks.
Consumed on the during travel or in your breaks. These are alternatives for your snacks. A
dd them to your meal to make it interesting. Spice it up with a pinch of salt and masala. 
Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/865/american-pineapple-upside-down-cake-egg-free/"
2082,"Capsicum - Red, Organically Grown",36.25,,"Red capsicums are thin, smooth skinned, crunchy, mildly sweet tasting, hollow vegetables that are juicier variants of the green capsicum. They are perfect for adding a dash of colour, distinct taste and beautiful scent to your salad, pizza, pasta or even gravy preparations. They are sourced directly from farmers, so that you receive only the best quality ones which not only jazz up any dish but also offer health benefits.
Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability. Click here for delicious vegetable recipes - https://www.bigbasket.com/flavors/collections/227/fresh-vegetables/"
2146,Wheat Grass - Organically Grown,33.75,,"The vivid green blades of Young grass sprouted from wheat seeds are long, thin and delicate being naturally sweet.  They have an earthy grass like flavor that is intensified significantly when juiced."
2169,"Apple - Red Delicious, Premium",227.5,,"The bright red coloured and heart shaped Red Delicious apples are crunchy, juicy and slightly sweet.
Red Delicious Apples are a natural source of fibre and are fat free. They contain a wide variety of anti-oxidants and polynutrients.
Premium apples are handpicked by our experts to give you the best quality apples.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/241/apple-halwa/"
2175,Malgoa Mango,186.25,,"The Alphonso of South India- Malgoa is round and green in colour with shades of red.
With a fusion flavour of spice and sweetness, the flesh is fiberless and comes with a sweet fragrance.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2314/mango-mint-and-limeade-slush/ 
Calcium Carbide is not used in the ripening process of the mangoes."
2215,Mustard Leaves (Sarso Saag),23.75,,"Thin, frilli and delicate green mustard leaves have a crunchy texture and mustard flavour with a mild sweet and spicy pepper-like finish.
They are best used raw."
2242,Beans Cluster - Diced,31.25,,"These narrow, long beans called Cluster beans or Guar come with tiny pods and are highly nutritious. We deliver them fresh and diced, making your preparations less messy and much easy."
2290,Beans - Julienne,53.75,,"We deliver these fresh beans in julienne cut, making your preparations less messy and much easy because we value your time!"
2400,"Pear - Green, Imported",136.25,,"Pears are grown throughout the world, but none matches the ideal growing conditions and climate of the Pacific Northwest states of USA “ Washington & Oregon.
USA Pears are recognized worldwide for their unsurpassed quality.
They are good any time of the day“ from mid-morning to pre bed time, easy to digest with only 100 calories. 
USA Pears are ready to eat when they yield to the gentle thumb test. 
Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
2428,Sambar Onion - Organically Grown,42.5,,"It Is Organically Grown And Handpicked From Farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
2464,Mango Mallika - Organically Grown,103.75,,"The Mango fruit is the National Fruit of India . The Mango is a fleshy stone fruit belonging to the genus Mangifera . Mangoes are rich invitamin A, C, and D. It is also called th King of fruits.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
2479,Knol Khol - Organically Grown,30,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
2542,Muskmelon - Organically Grown,33.75,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
2854,Lettuce - Red,20,,"With fragile reddish or purplish leaves, Red lettuce has a mild flavour and is less crunchy compared to the green lettuce."
2890,Carrots - Grated,37.5,,"A popular sweet-tasting root vegetable, Carrots are long, narrow and cone shaped. They have thick, fleshy, deeply coloured root, which grows underground, with feathery green leaves that emerge above the ground.  While these greens are fresh tasting and slightly bitter, the carrot roots are crunchy textured with a sweet and minty aromatic taste. We deliver these carrots freshly grated, making your preparations much easier and quicker because we value your time!"
2892,Onion - Organically Grown,43.75,,"It is organically grown and handpicked from farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
2942,Brinjal - Varikatri,25,,"One of the bigger varieties, Brinjal Varikatris are egg- shaped with white-purple stripes on the shiny skin.
The creamy flesh is enjoyably bitter tasting with several small, soft edible seeds. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1992/eggplant-grilled-sandwich/"
2946,Mosambi,118.75,,"Fresho Mosambis are of the best quality, handpicked and sourced directly from the farmers of Anantapur. Sweet lime or mosambi is lime-like, large sized with an underlying yellow base. The intense, refreshing aroma is due to essential oils present in the skin. It generally tastes sweet, occasionally tart to sweet. Do not forget to check our delicious fruit recipe - < a href=""https://www.bigbasket.com/cookbook/recipes/1847/coconut-chia-pudding-super-bowl/"">"
3015,Totapuri Mango,30,,"With a parrot-like beak at the fruit tip, greenish yellow skinned Totapuri is a perfect blend of sweetness and tartness.
It has a rich aromatic flavour.
Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/2307/mango-chhunda/ 
Calcium Carbide is not used in the ripening process of the mangoes."
3050,Asparagus,112.5,,"The uniquely mild and bitter flavoured Asparagus has long, deep green stalks that are tender at the tip and thick at the end."
3080,Leeks,20,,"Leek is a long bundle of leaf sheaths with a mild, onion-like taste. In its raw state, the vegetable is crunchy and firm. The edible portions of the leek are the white base of the leaves (above the roots and stem base) and the light green parts."
3086,"Pumpkin - Disco, Organically Grown",48.75,,"Pumpkin Disco are extremely rich in minerals like potassium and copper, making your body and the immune system strong. This tasty and nutritious vegetable can be used in various curries and fried preparations."
3162,"Beans - Broad, Organically Grown",57.5,,"Their verdant sheen and kidney-shaped curves, broad beans make them one of the best looking vegetables. Being organically grown, they are chemical - free and safe and healthy for consumption. Broad beans can be used in simple vegetables dish in combination with potatoes and also in fried rice, salads and risotto."
3173,Ooty Potato - Medium,86.25,,"Whether mashed, baked or roasted, people often consider potatoes as comfort food. It is an important food staple and the number one vegetable crop in the world. Potatoes are available year-round as they are harvested somewhere every month of the year.Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability.Click here for delicious vegetable recipes -"
3207,Watermelon - Organically Grown,48.75,,"With greenish black to smooth dark green surface, we selectively pick organically grown watermelons from the best farms These watermelons have juicy, sweet and grainy textured flesh filled with 12-14% of sugar content, making it a healthy alternative to sugary carbonated drinks. Flesh colour of these are pink to red with dark brown/black seeds. 
 Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1181/watermelon-mocktail/"
3240,Apple Shimla Economy 1kg + Mosambi 4pcs + Banana Robusta 1kg + Pomegranate 2pcs,456.25,,"Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/ 
 Sweet Lime is soft yellow colored, mildly sweet tasting, juicy fruits that is resident to South Asia. It is a versatile fruit with a sweet and sour flavor. This wonderful fruit renders terrific nutritional charge. It is little in calories; just 43 calories per 100 grams. The peel can differ in thickness from lean to quire thick.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/   Robusta Semi Ripe Bananas are around 6-7 inches long. Robusta has a dissimilar sweet flavor, good smell and the texture is mushy and smooth. They come neatly filled in their own wrapper, want not be washed before eating and are very moveable too. One banana supplies 30 percent of the daily B6 must and is rich in Vitamin C and potassium. It also has trace amounts of numerous amino acid, including tryptophan get during our diet.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/"
3325,Thai Ginger,47.5,,"Thai ginger, also known as Galangal, has an orange-brown coloured skin with a pale yellow or white interior and pinkish portions. 
Galangal tastes more like pepper than ginger and has a sharp blend of black pepper and pine like aroma."
3340,Baby Potato,25,,These small baby potatoes are a sweeter variety than normal ones and come with a creamy off white interior. Baby potato is a starchy vegetable that adds thickness to recipes and blends well with other vegetables.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2133/baked-cheesy-baby-potatoes/
3418,Mosambi - Economy,178.75,,"Fresho Mosambis are of the best quality, handpicked and sourced directly from the farmers of Anantapur. Sweet lime or mosambi is lime-like, large-sized with an underlying yellow base. The intense, refreshing aroma is due to the essential oils present in its skin. It generally tastes sweet, occasionally tart to sweet. Enriched with Vitamin C, protein and fiber, it provides a range of health benefits. You can even make Juice from this fruit."
3627,Guava - Organically Grown,45,,"Savour the green guavas along with hard, pale yellow edible seeds. The off-white flesh is crunchy and mildly sweet with very good fragrance. We selectively pick organically grown guavas from the best farms  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/802/fruit-salad-trifle/"
3655,Sambar Pack,51.25,,"Prepare delicious and nutritious South Indian Sambar with all these freshly cut vegetables - Broad Beans Diced, Carrot Sliced, Beans Diced, Potato Diced -100 Gms, Drumstick Cuts. This pack is sufficient for preparing Sambar which can be consumed by 5 - 6 members.
Try out this recipe at home -  https://www.bigbasket.com/flavors/collections/222/ready-to-cook-vegetable-pack-recipes/ 
 Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
3725,Gongura Leaves/Pulicha,25,,"Gongura leaves have dark green, finger like leaves with a mildly astringent, bitter and refreshing acidic taste."
3737,Carrot Strips and Beans Strip,46.25,,"These beans and carrots have been chopped thinly into short strips for using in a variety of quick recipes. They are used in curries, soups, stir-fry with rice, noodles and salads.
Try out this recipe at home -  https://www.bigbasket.com/flavors/collections/222/ready-to-cook-vegetable-pack-recipes/ 
 Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
3771,"Apple - Shimla, Premium",236.25,,"Considered as most commonly grown apples in India, Shimla apples have a light red skin, juicy and crunchy flesh.
We source the best apples with residue and wax free peel from the trusted growers.
Fresho's Premium apples are hand picked to give you the best quality apples.
Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/701/apple-crisp-bites/"
3808,Pineapple and Pomegranate Cut,142.5,,"Preservation of vegetables is always a priority consideration of the Govt. of India. Minimally processed and packed vegetables are cost effective and technologically viable way of preservation. CFTRI over the last decade has exhaustively worked on this aspect to crystallize an adaptable technology, which has a potential for industrial adoption, effective storage life ranging from 0-5 days. Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.
 Pomegranate variety has a glossy, vibrant and soft ruby-red skin. The inside of the fruit is divided into compartments by thin white membranes. This nutrient dense, antioxidant wealthy fruit is considered to be a super-food. It is a fine supply of vitamin K, C, minerals and B-complex vitamins like potassium, calcium, manganese and copper. It is rich supply of soluble and insoluble dietary fibers.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
4061,Plum - Indian,98.75,,"Dark red or black, sweet, juicy and succulent plums are cherished for their taste everywhere. We have handpicked the premium quality plums just for you. 
Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/1267/kelloggs-special-k-baked-yogurt-with-berries/"
4068,Carrot - Organically Grown,47.5,,"It Is Organically Grown And Handpicked From Farm  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
4069,Lemon Grass,12.5,,"Lemon Grass is a culinary herb that comes with an excellent aroma. It is also used as a medicinal herb in India. It has a subtle citrusy flavour and can be used fresh or even dried and powdered.
Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/2255/lemongrass-tea/"
4125,Drumstick/Moringa,33.75,,"Drumsticks have long, dark green bumpy pods running along the length and fleshy pulp inside the pod encasing each seed.
These pods have a faint bitter taste combined with slight sweetness. 
Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/1748/drumstick-tomato-curry/"
4213,Chrysanthemum/Shevanti Flower,40,,"This versatile and low-maintenance flower is perfect for every setting, and with its long shelf life, you'll be falling in love with the Chrysanthemum every day! Perfect for your everyday puja.
Chrysanthemums, also known as 'mums', are considered as one of the most beautiful varieties of perennials that starts flowering from early autumn. The is one of the most popular flowers of the month of November.
Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability."
4282,Mango Raspuri - Organically Grown,97.5,,"An extremely popular variety in South India , Raspuri Mangoes are grown primarily in Mysore region of Karnataka. Raspuri mangoes have an excellent aromatic flavor and juicy texture. The mango has a warm sweet taste so is also known as Sweet Mango. They are rich in carotenes (which is a pre cursor of vitamin A) and Vitamin C.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
4287,Beans - Diced,53.75,,"We deliver these fresh beans finely and uniformly diced, making your preparations less messy and much easy because we value your time!"
4309,Chutney Mix,27.5,,"Chutney adds its own flavor to foods and many recipes like idli, dosa, chaat, samosa or tikki cannot be enjoyed without chutney. This pack contains ginger chopped 20gm, chilli chopped 20gm, mint chopped 30gm, onion diced 80gm.
Try out this recipe at home -  https://www.bigbasket.com/flavors/collections/222/ready-to-cook-vegetable-pack-recipes/ 
 Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
4319,Palak - Organically Grown,32.5,,"Fresho Organic products are organically grown and handpicked by expert.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
4342,Guava - Thai,52.5,,"Large sized, apple green skinned Thai guavas have a white flesh with pale yellow seeds and tend to be drier than the pink guavas. Thai guavas are only mildly sweet and have very little fragrance.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/802/fruit-salad-trifle/"
4349,Kiwi - Green,261.25,,"Kiwis are oval shaped with a brownish outer skin. The flesh is bright green and juicy with tiny, edible black seeds. With its distinct sweet-sour taste and a pleasant smell, it tastes like strawberry and honeydew melon.  Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/1010/lean-green-smoothie/   Also try this simple method to ripen and enjoy your juicy kiwi fruit."
4417,Dill Leaves,31.25,,"Green, flimsy and fernlike Dill leaves have a strong aroma. sharp tang and a spongy sugary flavour.Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/1793/dil-wale-pan-cake/"
4580,Kiwi - Sun Gold,298.75,,"With a smooth, hair-less golden brown coloured skin, sun gold kiwis taste like in between mango and strawberry with a soft and sweet yellow flesh. Full of vitality, this juicy, golden-fleshed new variety has a refreshing sweet taste with just a hint of sourness. An attractive, larger kiwi fruit with a delicate texture inside a smooth skin. Zespri Gold has a beautiful consistent shape and is delighting consumers all over the world. 
 Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/1010/lean-green-smoothie/"
4647,Ridge Gourd - Organically Grown,50,,"Fresho Organic products are organically grown and handpicked by expert. Ridge Gourd is a soft and cylindrical shaped green vegetable which is extensively used in Indian cuisine. It is slightly sugary in taste. It is very rich in dietary fiber and all the vital elements like Vit-C, Zinc, Thiamin, Magnesium, Iron and Riboflavin. 
Product image shown is for representation purpose only, the actual product may vary based on season, produce & availability."
4696,Banana - Robusta,33.75,,"Relish the soft, buttery texture of Robusta bananas that are light green and have a great fragrance and taste. The stalks of Robustas are thick and rigid. Fresh fruits are green, which revolve to a bright yellow on ripening and the flesh contains a white - ceramic colour.
Fresho Robusta is fine quality, sweet flavoured, mushy and soft bananas. Do not forget to check our delicious fruit recipes - https://www.bigbasket.com/cookbook/recipes/1781/banana-smoothie/"
4698,Baby Apple Shimla,211.25,,"Baby Apples are the mini blush red apples with slight yellow streaks and has a smooth texture.
The apple flesh is greenish white and grained, and it tastes sweet and juicy. The crispiness and the aroma of the apples make it more attractive.
Apples are best when it is consumed fresh after meals or as a healthy snack for kids."
4699,Muskmelon - Diced,36.25,,"We've neatly cubed this sweet muskmelon into bite-sized pieces for you. Our diced muskmelons are ready to eat or can be mixed with other fruits in your salad.
Sweet but not oversweet, our ripe muskmelon has a refreshing aroma and plenty of juice. Perfect as a healthy tea break snack.
 Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1817/cantaloupe-juice-muskmelon-juice/"
